id,delivery_start,market,target,pred,fold
124335,2025-07-02 00:00:00,Market A,77.408,245.47085369962707,1
124336,2025-07-02 00:00:00,Market B,76.02,116.62493628385504,1
124338,2025-07-02 00:00:00,Market C,71.154,110.54801555392154,1
124340,2025-07-02 00:00:00,Market F,67.818,134.78815453396408,1
124341,2025-07-02 00:00:00,Market D,72.617,228.38054191291457,1
124343,2025-07-02 00:00:00,Market E,79.74,206.38325336797172,1
124345,2025-07-02 01:00:00,Market A,91.169,158.91043006011546,1
124346,2025-07-02 01:00:00,Market B,49.658,77.01324777708503,1
124348,2025-07-02 01:00:00,Market C,47.874,38.51065082950923,1
124350,2025-07-02 01:00:00,Market F,44.505,34.05732598178429,1
124351,2025-07-02 01:00:00,Market D,47.393,33.55212304121258,1
124353,2025-07-02 01:00:00,Market E,46.418,29.30377995520407,1
124355,2025-07-02 02:00:00,Market A,130.489,23.23889303882195,1
124356,2025-07-02 02:00:00,Market B,42.117,22.172534333551184,1
124358,2025-07-02 02:00:00,Market C,41.308,23.84762089098904,1
124360,2025-07-02 02:00:00,Market F,43.477,0.5395773178045715,1
124361,2025-07-02 02:00:00,Market D,40.747,6.786541219886075,1
124363,2025-07-02 02:00:00,Market E,39.367,12.961891294921038,1
124365,2025-07-02 03:00:00,Market A,95.26,25.91772435427643,1
124366,2025-07-02 03:00:00,Market B,38.67,55.116187744645394,1
124368,2025-07-02 03:00:00,Market C,38.588,58.23995528943328,1
124370,2025-07-02 03:00:00,Market F,39.733,61.818495173776455,1
124371,2025-07-02 03:00:00,Market D,36.589,55.398089658911154,1
124373,2025-07-02 03:00:00,Market E,38.843,58.18250803567462,1
124375,2025-07-02 04:00:00,Market A,128.422,68.58694225444731,1
124376,2025-07-02 04:00:00,Market B,40.149,62.98271503196616,1
124378,2025-07-02 04:00:00,Market C,39.336,62.60348832953503,1
124380,2025-07-02 04:00:00,Market F,22.062,74.4230178882157,1
124381,2025-07-02 04:00:00,Market D,-6.077,97.9632510492049,1
124383,2025-07-02 04:00:00,Market E,38.421,83.5633651137309,1
124385,2025-07-02 05:00:00,Market A,68.466,93.484201429651,1
