id,market,target,pred
66955,Market A,19.332,4.646062404360364
66961,Market A,14.068,23.987155096619304
66967,Market A,17.789,33.908320380465355
66973,Market A,29.77,47.15626940991129
66979,Market A,38.357,58.52883587735774
66985,Market A,29.998,57.90635450911593
66991,Market A,14.854,25.566865425851105
66997,Market A,12.881,28.487461076989575
67003,Market A,8.786,20.121082691164332
67009,Market A,3.09,21.189823146442137
67015,Market A,0.099,21.97316512472024
67021,Market A,-0.826,15.937813140162078
67027,Market A,-4.559,33.22141897117638
67033,Market A,4.71,14.311543382188745
67039,Market A,9.263,21.309226799138585
67045,Market A,25.249,32.36891058895232
67051,Market A,41.983,26.272937134758806
67057,Market A,19.043,5.202938113060441
67063,Market A,15.644,7.393678263363611
67069,Market A,17.771,43.62132297072858
67075,Market A,18.651,29.346198306005405
67081,Market A,32.305,17.85855205353765
67087,Market A,33.873,0.8711163996838849
67093,Market A,27.527,-1.5176363401825341
67099,Market A,41.66,12.339060408076307
67105,Market A,40.831,23.850148638819206
67111,Market A,33.212,19.67525425722053
67117,Market A,15.574,29.210978811402796
67123,Market A,5.085,34.27934615026379
67129,Market A,5.172,29.766730508751564
67135,Market A,10.031,28.956272976585453
67141,Market A,6.613,24.38703518599226
67147,Market A,0.284,15.18001072404168
67153,Market A,-0.222,3.724239592497142
67159,Market A,-0.206,13.97292172172493
67165,Market A,-0.405,16.946376280771503
67171,Market A,11.007,25.370882191014346
67177,Market A,25.065,25.630710260238885
67183,Market A,26.349,30.74878847538301
67189,Market A,32.994,36.53756705956191
67195,Market A,22.999,57.812458813719275
67201,Market A,23.461,58.51966128402497
67207,Market A,22.15,62.41468122297189
67213,Market A,61.744,79.97570277918942
67219,Market A,264.108,99.70100899093161
67225,Market A,66.791,166.1322250700797
67231,Market A,27.564,63.97261768212569
67237,Market A,19.892,61.78882327868176
67243,Market A,26.068,73.68835998147011
67249,Market A,18.451,69.5563691131348
67255,Market A,14.649,66.22147568810863
67261,Market A,18.136,58.32953880489749
67267,Market A,24.43,75.28096423370161
67273,Market A,25.37,65.39098061495982
67279,Market A,20.177,41.417502975280996
67285,Market A,17.132,41.54923164821402
67291,Market A,13.893,23.734955857888764
67297,Market A,11.648,33.194491048745675
67303,Market A,11.552,34.92739065414456
67309,Market A,15.107,40.88447256957643
67315,Market A,12.836,52.657245621238076
67321,Market A,10.154,49.540336005847806
67327,Market A,9.858,54.75992851200485
67333,Market A,14.8,68.70777379511185
67339,Market A,34.178,75.83082885030107
67345,Market A,37.119,87.58356205017219
67351,Market A,86.444,81.87586088101426
67357,Market A,458.39,129.82270192836893
67363,Market A,391.546,592.7274819296101
67369,Market A,93.374,221.07341727079444
67375,Market A,59.619,89.99076388117574
67381,Market A,45.193,114.95584885939505
67387,Market A,30.708,77.74030824320187
67393,Market A,25.883,82.03476125472166
67399,Market A,19.265,79.96920467937946
67405,Market A,21.698,94.39206251220024
67411,Market A,39.717,103.46285382015827
67417,Market A,24.474,92.6541867902225
67423,Market A,24.884,74.11486607759639
67429,Market A,21.646,63.06701541943855
67435,Market A,19.068,55.836478304650726
67441,Market A,17.991,60.28745126161841
67447,Market A,15.579,66.29688637119476
67453,Market A,13.381,56.25760350692442
67459,Market A,13.623,45.305663527127564
67465,Market A,13.666,58.067508843591476
67471,Market A,16.435,30.371129698660198
67477,Market A,19.405,23.89182372921222
67483,Market A,21.331,35.31464397673591
67489,Market A,20.428,47.52776091163598
67495,Market A,23.764,43.14736688830634
67501,Market A,33.714,60.927189257079164
67507,Market A,35.04,171.0073317790792
67513,Market A,23.1,71.30647347823725
67519,Market A,24.787,45.20576817423685
67525,Market A,30.173,40.421443191809104
67531,Market A,27.436,28.124848732259807
67537,Market A,21.589,43.951542089002885
