id,delivery_start,market,target,pred,fold
131371,2025-08-17 00:00:00,Market A,55.553,54.90670874685854,1
131372,2025-08-17 00:00:00,Market B,27.552,46.64175680364861,1
131373,2025-08-17 00:00:00,Market C,36.494,48.52463360844101,1
131374,2025-08-17 00:00:00,Market F,35.566,62.37821776190842,1
131375,2025-08-17 00:00:00,Market D,34.509,44.32610654424339,1
131376,2025-08-17 00:00:00,Market E,25.946,37.124803690592906,1
131377,2025-08-17 01:00:00,Market A,93.582,33.878897681769466,1
131378,2025-08-17 01:00:00,Market B,21.968,27.165118070061478,1
131379,2025-08-17 01:00:00,Market C,33.153,13.972694016573936,1
131380,2025-08-17 01:00:00,Market F,30.983,7.528469770252498,1
131381,2025-08-17 01:00:00,Market D,31.02,-1.3669794319376578,1
131382,2025-08-17 01:00:00,Market E,22.813,-7.64051217133019,1
131383,2025-08-17 02:00:00,Market A,178.885,4.160064616076138,1
131384,2025-08-17 02:00:00,Market B,26.418,22.5692803942748,1
131385,2025-08-17 02:00:00,Market C,28.341,29.78809088614291,1
131386,2025-08-17 02:00:00,Market F,28.268,34.30248144295254,1
131387,2025-08-17 02:00:00,Market D,29.754,25.412068890421985,1
131388,2025-08-17 02:00:00,Market E,26.404,34.211528407806334,1
131389,2025-08-17 03:00:00,Market A,57.212,41.59518567916857,1
131390,2025-08-17 03:00:00,Market B,18.771,84.99276279641002,1
131391,2025-08-17 03:00:00,Market C,23.872,126.85506458914332,1
131392,2025-08-17 03:00:00,Market F,25.284,85.4055715194237,1
131393,2025-08-17 03:00:00,Market D,24.563,72.81500245818398,1
131394,2025-08-17 03:00:00,Market E,20.396,106.28904379042561,1
131395,2025-08-17 04:00:00,Market A,30.403,108.80430235800151,1
131396,2025-08-17 04:00:00,Market B,20.228,126.08634859048007,1
131397,2025-08-17 04:00:00,Market C,22.632,159.2607190828317,1
131398,2025-08-17 04:00:00,Market F,23.064,130.2288334749023,1
131399,2025-08-17 04:00:00,Market D,22.811,143.37954343230115,1
131400,2025-08-17 04:00:00,Market E,20.634,92.44524701891984,1
131401,2025-08-17 05:00:00,Market A,23.542,249.3912518128865,1
131402,2025-08-17 05:00:00,Market B,21.937,84.05988318023563,1
131403,2025-08-17 05:00:00,Market C,22.289,20.876024147898992,1
131404,2025-08-17 05:00:00,Market F,21.346,17.626030853517758,1
131405,2025-08-17 05:00:00,Market D,23.175,12.992236887358358,1
131406,2025-08-17 05:00:00,Market E,21.735,10.659833489375702,1
131407,2025-08-17 06:00:00,Market A,21.507,11.255107375923188,1
131408,2025-08-17 06:00:00,Market B,21.486,17.39517169548455,1
131409,2025-08-17 06:00:00,Market C,22.217,20.517157216451235,1
131410,2025-08-17 06:00:00,Market F,21.286,17.35332121635587,1
131411,2025-08-17 06:00:00,Market D,22.238,25.37162228943675,1
131412,2025-08-17 06:00:00,Market E,21.339,35.47520737046374,1
131413,2025-08-17 07:00:00,Market A,20.74,58.768030264355396,1
131414,2025-08-17 07:00:00,Market B,20.782,668.992754115216,1
131415,2025-08-17 07:00:00,Market C,21.056,111.98101272407108,1
131416,2025-08-17 07:00:00,Market F,20.066,103.59661168678352,1
131417,2025-08-17 07:00:00,Market D,21.264,144.82082690703905,1
131418,2025-08-17 07:00:00,Market E,21.163,187.70739068665674,1
131419,2025-08-17 08:00:00,Market A,16.07,258.4608677663168,1
131420,2025-08-17 08:00:00,Market B,16.065,275.7213352070797,1
131421,2025-08-17 08:00:00,Market C,17.398,304.1369123921985,1
131422,2025-08-17 08:00:00,Market F,15.966,341.9873243138062,1
131423,2025-08-17 08:00:00,Market D,17.108,394.4850726772812,1
131424,2025-08-17 08:00:00,Market E,17.308,327.11591123607457,1
131425,2025-08-17 09:00:00,Market A,13.234,275.78080429270346,1
131426,2025-08-17 09:00:00,Market B,13.206,202.0345849884532,1
131427,2025-08-17 09:00:00,Market C,14.696,43.900145353224644,1
131428,2025-08-17 09:00:00,Market F,15.696,28.056111853955105,1
131429,2025-08-17 09:00:00,Market D,15.919,26.716993768300956,1
131430,2025-08-17 09:00:00,Market E,13.685,31.929172663043055,1
131431,2025-08-17 10:00:00,Market A,7.961,34.9627870055381,1
131432,2025-08-17 10:00:00,Market B,7.117,36.9016839352074,1
131433,2025-08-17 10:00:00,Market C,17.927,37.57854087989516,1
131434,2025-08-17 10:00:00,Market F,17.217,65.00553198441538,1
131435,2025-08-17 10:00:00,Market D,16.036,20.273783251677028,1
131436,2025-08-17 10:00:00,Market E,6.75,17.833871095695557,1
131437,2025-08-17 11:00:00,Market A,12.221,72.54349486439227,1
131438,2025-08-17 11:00:00,Market B,11.394,836.2599344499646,1
131439,2025-08-17 11:00:00,Market C,27.177,166.2118338325972,1
131440,2025-08-17 11:00:00,Market F,27.451,160.0988110617936,1
131441,2025-08-17 11:00:00,Market D,25.576,188.327716883693,1
131442,2025-08-17 11:00:00,Market E,11.294,252.41086967903453,1
131443,2025-08-17 12:00:00,Market A,27.828,335.27558632935506,1
131444,2025-08-17 12:00:00,Market B,23.174,346.3299214332556,1
131445,2025-08-17 12:00:00,Market C,45.534,301.7484349933793,1
131446,2025-08-17 12:00:00,Market F,43.753,252.55560361521998,1
131447,2025-08-17 12:00:00,Market D,41.978,273.6133821499371,1
131448,2025-08-17 12:00:00,Market E,24.261,280.58554269039837,1
131449,2025-08-17 13:00:00,Market A,34.773,221.98546120442688,1
131450,2025-08-17 13:00:00,Market B,28.837,204.654427532116,1
131451,2025-08-17 13:00:00,Market C,63.529,37.965366562866656,1
131452,2025-08-17 13:00:00,Market F,57.313,35.881164643057545,1
131453,2025-08-17 13:00:00,Market D,61.749,35.48566342859326,1
131454,2025-08-17 13:00:00,Market E,26.542,34.94534543386479,1
131455,2025-08-17 14:00:00,Market A,37.154,42.32186468580049,1
131456,2025-08-17 14:00:00,Market B,26.842,40.36482314721598,1
131457,2025-08-17 14:00:00,Market C,62.667,45.7557197529263,1
131458,2025-08-17 14:00:00,Market F,67.063,52.243818709767204,1
131459,2025-08-17 14:00:00,Market D,64.044,62.24362816096981,1
131460,2025-08-17 14:00:00,Market E,26.593,76.65630919134189,1
131461,2025-08-17 15:00:00,Market A,37.373,89.54179169307619,1
131462,2025-08-17 15:00:00,Market B,26.483,747.7863784207614,1
131463,2025-08-17 15:00:00,Market C,69.143,263.00427511145926,1
131464,2025-08-17 15:00:00,Market F,66.906,124.19167493571231,1
131465,2025-08-17 15:00:00,Market D,62.052,138.38881109617157,1
131466,2025-08-17 15:00:00,Market E,25.745,151.79854162863234,1
131467,2025-08-17 16:00:00,Market A,45.586,171.43287268667606,1
131468,2025-08-17 16:00:00,Market B,25.579,167.22786364793706,1
131469,2025-08-17 16:00:00,Market C,58.931,190.0187990664752,1
131470,2025-08-17 16:00:00,Market F,32.781,219.929484636447,1
131471,2025-08-17 16:00:00,Market D,48.394,187.30645275945363,1
131472,2025-08-17 16:00:00,Market E,26.967,170.2895472962129,1
