id,market,target,pred
66955,Market A,19.332,-9.759641040185734
66961,Market A,14.068,9.084668796766003
66967,Market A,17.789,19.729078633234877
66973,Market A,29.77,26.751299561276618
66979,Market A,38.357,35.347810236100486
66985,Market A,29.998,40.64301445889924
66991,Market A,14.854,20.24088007318013
66997,Market A,12.881,19.970433574929878
67003,Market A,8.786,19.53513639713173
67009,Market A,3.09,9.361523367194273
67015,Market A,0.099,3.5893137052088875
67021,Market A,-0.826,2.751446848298883
67027,Market A,-4.559,1.4070962433617638
67033,Market A,4.71,-8.43565098013373
67039,Market A,9.263,-3.299480505666473
67045,Market A,25.249,2.306217750727086
67051,Market A,41.983,-3.496733831795808
67057,Market A,19.043,-18.0999249265001
67063,Market A,15.644,-1.105250440380921
67069,Market A,17.771,27.71437409731654
67075,Market A,18.651,29.494771340303974
67081,Market A,32.305,7.916219565399238
67087,Market A,33.873,-3.8728386375668578
67093,Market A,27.527,-9.4869657301115
67099,Market A,41.66,11.752515565682437
67105,Market A,40.831,16.10663926766815
67111,Market A,33.212,-1.1102426876748268
67117,Market A,15.574,11.692462809330586
67123,Market A,5.085,16.848071339215046
67129,Market A,5.172,19.991511840965998
67135,Market A,10.031,20.329748565730746
67141,Market A,6.613,11.168468822529292
67147,Market A,0.284,3.318448585077114
67153,Market A,-0.222,-7.074686481107378
67159,Market A,-0.206,-1.4385073987676193
67165,Market A,-0.405,-1.0468853003022929
67171,Market A,11.007,8.876683828371
67177,Market A,25.065,13.235130152120945
67183,Market A,26.349,21.33022012125128
67189,Market A,32.994,36.789064032632005
67195,Market A,22.999,49.06786958414639
67201,Market A,23.461,45.66832949764253
67207,Market A,22.15,57.6863732279395
67213,Market A,61.744,109.67929315856185
67219,Market A,264.108,128.44855860144534
67225,Market A,66.791,151.56100664189216
67231,Market A,27.564,27.036077088540644
67237,Market A,19.892,21.74139869148283
67243,Market A,26.068,42.3172100965689
67249,Market A,18.451,35.11798848072724
67255,Market A,14.649,30.23862809176663
67261,Market A,18.136,27.478114520086862
67267,Market A,24.43,44.973245884525596
67273,Market A,25.37,43.94546800849562
67279,Market A,20.177,33.80214427297078
67285,Market A,17.132,32.54198438389394
67291,Market A,13.893,9.636720975879932
67297,Market A,11.648,17.07641955456965
67303,Market A,11.552,26.342420130268128
67309,Market A,15.107,37.556589122026196
67315,Market A,12.836,44.76330512002569
67321,Market A,10.154,50.39141361412031
67327,Market A,9.858,45.319278572818895
67333,Market A,14.8,51.65943706922107
67339,Market A,34.178,86.19752364144841
67345,Market A,37.119,100.8547048047081
67351,Market A,86.444,114.09189312991245
67357,Market A,458.39,199.35132869183806
67363,Market A,391.546,581.1166121309409
67369,Market A,93.374,411.9209318570822
67375,Market A,59.619,110.53331114318809
67381,Market A,45.193,92.26326905532477
67387,Market A,30.708,67.98116983278894
67393,Market A,25.883,60.31475008441673
67399,Market A,19.265,57.25639683042377
67405,Market A,21.698,75.66078499726342
67411,Market A,39.717,99.6896471847564
67417,Market A,24.474,89.66722759444626
67423,Market A,24.884,71.70183478856293
67429,Market A,21.646,52.2161646372685
67435,Market A,19.068,33.22896605302977
67441,Market A,17.991,37.04026452236769
67447,Market A,15.579,52.907217147913734
67453,Market A,13.381,38.2634958896784
67459,Market A,13.623,39.97398704431539
67465,Market A,13.666,82.008594480807
67471,Market A,16.435,73.86955522152951
67477,Market A,19.405,61.088711230823364
67483,Market A,21.331,67.35911866868128
67489,Market A,20.428,68.2947277606138
67495,Market A,23.764,69.43781561378779
67501,Market A,33.714,72.07103822269883
67507,Market A,35.04,80.86421496652937
67513,Market A,23.1,60.60496787508859
67519,Market A,24.787,42.19122552794613
67525,Market A,30.173,62.622524683945855
67531,Market A,27.436,36.54375080905668
67537,Market A,21.589,38.35362091872334
67543,Market A,12.959,30.971983769244424
67549,Market A,11.581,32.09892227599994
67555,Market A,8.941,28.270767431353413
67561,Market A,11.767,34.17946132778158
67567,Market A,14.334,38.27545586446856
67573,Market A,12.359,31.49506451372514
67579,Market A,11.252,25.498462972414693
67585,Market A,12.879,22.05158013079476
67591,Market A,16.506,28.845624223991315
67597,Market A,20.767,21.626884092758417
67603,Market A,25.954,50.1675830399269
67609,Market A,31.483,56.092601022157346
67615,Market A,29.704,48.693938226591385
67621,Market A,27.073,44.433495852328136
67627,Market A,23.726,44.22901602765777
67633,Market A,26.055,23.15184354694413
67639,Market A,18.687,29.842040506682963
67645,Market A,27.627,62.241916230621996
67651,Market A,23.731,64.42589585197732
67657,Market A,24.343,35.49607694872823
67663,Market A,25.736,19.027799155862006
67669,Market A,38.102,21.746143081075047
67675,Market A,39.299,28.222912851890676
67681,Market A,13.695,31.294837326683137
67687,Market A,17.819,23.580268518203987
67693,Market A,20.692,23.663628876799706
67699,Market A,55.182,41.9188985521198
67705,Market A,46.162,52.323366325995536
67711,Market A,27.497,52.941409442034555
67717,Market A,20.071,37.77583759706707
67723,Market A,13.765,17.61826559456079
67729,Market A,-6.765,22.96248053590304
67735,Market A,-35.295,13.811164680666131
67741,Market A,-37.581,11.293063277933747
67747,Market A,-37.363,8.325394921890371
67753,Market A,-37.045,9.80460483843492
67759,Market A,-37.109,3.6822459335166613
67765,Market A,-39.582,-3.178545335785813
67771,Market A,-18.769,-6.190052680334674
67777,Market A,-1.188,-12.602590171479292
67783,Market A,-0.099,1.6007000635352924
67789,Market A,0.777,18.001750018141824
67795,Market A,11.567,33.20364535020404
67801,Market A,17.021,22.16969064008302
67807,Market A,22.075,11.255393320977795
67813,Market A,21.938,17.129948095197427
67819,Market A,22.198,30.038213548567274
67825,Market A,20.037,8.176602931638492
67831,Market A,18.512,15.263637109798296
67837,Market A,14.922,7.8344623739882095
67843,Market A,14.139,8.515196798938732
67849,Market A,17.558,9.686581325421336
67855,Market A,17.574,8.621462717545704
67861,Market A,8.006,7.569780201027619
67867,Market A,2.424,-1.071567821386779
67873,Market A,0.252,-0.8203145449979274
67879,Market A,0.085,-0.4706898930319454
67885,Market A,-11.476,-2.3197742988589525
67891,Market A,-39.952,-7.874457164610938
67897,Market A,-7.525,-14.910593981543627
67903,Market A,20.908,-8.94618821686035
67909,Market A,25.978,-0.21846221828334222
67915,Market A,35.467,7.671741260735551
67921,Market A,23.439,7.172765176320503
67927,Market A,18.236,8.992505094541947
67933,Market A,30.537,48.49286577581274
67939,Market A,47.757,52.583957672233865
67945,Market A,16.5,32.57139684739968
67951,Market A,7.384,13.536860188317192
67957,Market A,15.426,19.798136524584052
67963,Market A,19.924,23.644672459831185
67969,Market A,20.826,19.314065108562808
67975,Market A,18.429,23.388154569184458
67981,Market A,16.256,19.028961664729167
67987,Market A,17.072,21.591374647285114
67993,Market A,18.192,22.554170635642237
67999,Market A,19.232,16.574425429797223
68005,Market A,17.973,19.544108209969068
68011,Market A,17.641,19.952792831735245
68017,Market A,24.156,22.358767907870778
